scene_name,entry_condition,user_message,category,target,scene_text,funcs
Проблемы с блокировкой карты,"Запрос пользователя связан с одной из перечисленных тем:
1) блокировка карты
2) снятие блокировки карты","Я не могу использовать свою карту, она, похоже, заблокирована.",Проблемы с картами,1,Идентификация клиента. Проверка причины блокировки карты. - Используй функцию <check_block_reason>. Обсуждение возможных решений проблемы. - Предложи варианты с использованием функции <offer_solutions>. Подтверждение устранения проблемы. - Функция <confirm_resolution>. Уведомление клиента о разблокировке карты. - Используй функцию <notify_unlock>.,"[""check_block_reason"", ""offer_solutions"", ""confirm_resolution"", ""notify_unlock""]"
Подтверждение транзакции,"Запрос пользователя связан с одной из перечисленных тем:
1) необработанная транзакция
2) подозрительная транзакция","Я не вижу на своем счете транзакцию за 5000 рублей, вы можете подтвердить, что она была выполнена?",Транзакции,1,Проверка идентификации клиента. Верификация информации о транзакции. - Используй функцию <check_transaction_info>. Проверка наличия достаточных средств. - Функция <verify_account_balance>. Предложение подтверждения транзакции клиенту. Завершение транзакции. - Используй функцию <finalize_transaction>.,"[""check_transaction_info"", ""verify_account_balance"", ""finalize_transaction""]"
Статус страхового полиса,"Запрос пользователя связан с одной из перечисленных тем:
1) статус страхового полиса
2) информация о выплатах по страховке",Какой статус моего страхового полиса?,Страхование,1,Проверка идентификационных данных клиента. Запрос информации о текущем статусе полиса. - Используй функцию <getPolicyStatus()>. Определение даты окончания действия полиса. - Функция <checkPolicyExpiry()>. Предложение вариантов продления полиса. - Используй функцию <offerRenewalOptions()>.,"[""getPolicyStatus()"", ""checkPolicyExpiry()"", ""offerRenewalOptions()""]"
Консультация по инвестициям,"Запрос пользователя связан с одной из перечисленных тем:
1) инвестиционные стратегии
2) фондовые рынки
3) риски инвестирования",Какой у вас курс валюты на сегодня?,Инвестиции,0,Проверка инвестиционного профиля клиента. Анализ текущих рыночных тенденций. - Используй функцию <getMarketTrends()>. Предложение инвестиционных стратегий. - Предложи варианты с использованием функции <suggestInvestmentOptions()>. Обсуждение рисков и потенциальной прибыли. Заключение и рекомендация по действию. - Функция <finalizeInvestmentAdvice()>.,"[""getMarketTrends()"", ""suggestInvestmentOptions()"", ""finalizeInvestmentAdvice()""]"
Информация о кредитных продуктах,"Запрос пользователя связан с одной из перечисленных тем:
1) условия кредитования
2) процентные ставки по кредитам","Может, расскажете про кредиты? Интересно, что у вас там есть.",Кредитование,1,Проверка доступных кредитных продуктов. Определение требований для получения кредита. - Используй функцию <validate_criteria> Предложение вариантов кредитования. - Предложи варианты с использованием функции <offer_credit_options>. Расчет примерной ежемесячной выплаты. - Функция <calculate_monthly_payment>. Консультирование по условиям и документам для оформления кредита.,"[""validate_criteria"", ""offer_credit_options"", ""calculate_monthly_payment""]"
Смена пароля в мобильном банке,"Запрос пользователя связан с одной из перечисленных тем:
1) смена пароля
2) забытый пароль
3) безопасность аккаунта","Я забыл пароль от мобильного банка, что делать?",Мобильный банкинг,1,Проверка идентификации клиента. Ввод текущего пароля. - Используй функцию <validate_current_password> Создание нового пароля. - Предложи варианты сложности с использованием функции <generate_password_options>. Подтверждение нового пароля. - Функция <confirm_password_match>. Обновление данных пользователя. - Используй функцию <update_user_password>.,"[""validate_current_password"", ""generate_password_options"", ""confirm_password_match"", ""update_user_password""]"
Проверка подозрительных транзакций,"Запрос пользователя связан с одной из перечисленных тем:
1) подозрительная транзакция
2) уведомление о несанкционированной операции","Что за фигня, у меня тут какая-то транзакция, которую я не делал вообще!",Безопасность счета,1,Идентификация подозрительных транзакций. Анализ транзакционной истории клиента. - Используй функцию <анализ_истории_транзакций>. Проверка соответствия транзакций установленным лимитам. Уведомление пользователя о подозрительных транзакциях. - Функция <отправить_уведомление>. Предложение о блокировке карты для предотвращения мошенничества.,"[""\u0430\u043d\u0430\u043b\u0438\u0437_\u0438\u0441\u0442\u043e\u0440\u0438\u0438_\u0442\u0440\u0430\u043d\u0437\u0430\u043a\u0446\u0438\u0439"", ""\u043e\u0442\u043f\u0440\u0430\u0432\u0438\u0442\u044c_\u0443\u0432\u0435\u0434\u043e\u043c\u043b\u0435\u043d\u0438\u0435""]"
Управление безопасностью карты,"Запрос пользователя связан с одной из перечисленных тем:
1) блокировка карты
2) подозрительная транзакция",Почему у вас такие высокие комиссии?,Проблемы с картами,0,Проверка активности по карте клиента. Анализ транзакций на предмет подозрительных операций. Уведомление клиента о подозрительной активности. - Используй функцию <send_alert_to_client>. Блокировка карты при подтверждении подозрительных транзакций. - Функция <block_card>. Предоставление инструкций по восстановлению доступа к карте.,"[""send_alert_to_client"", ""block_card""]"
Возврат несанкционированной транзакции,"Запрос пользователя связан с одной из перечисленных тем:
1) несанкционированная транзакция
2) ошибки в списании средств","Эта транзакция, которую я вижу — не моя. Верните деньги, пожалуйста!",Транзакции,1,Проверка информации о транзакции. Идентификация клиента. - Используй функцию <verify_customer_identity> Анализ причин несанкционированной транзакции. - Предложи варианты с использованием функции <analyze_transaction_cause> Процесс возврата средств. - Функция <initiate_refund_process>.,"[""verify_customer_identity"", ""analyze_transaction_cause"", ""initiate_refund_process""]"
Информация о страховом полисе,"Запрос пользователя связан с одной из перечисленных тем:
1) условия страхования
2) обновление или изменение полиса","А есть ли у вас что-то по поводу кредитов? Я просто хотел узнать, может, что-то выгодное.",Страхование,0,Проверка данных клиента. Выяснение типа страхового полиса. - Используй функцию <getPolicyType>. Проверка статуса полиса. Предоставление информации о выплатах по полису.,"[""getPolicyType""]"
Консультация по инвестициям в акции,"Запрос пользователя связан с одной из перечисленных тем:
1) инвестиции в акции
2) выбор акций для вложения","Как мне вложить деньги в акции? Я хочу знать, какие компании сейчас перспективные.",Инвестиции,1,"Проверка финансового положения клиента. Анализ текущих тенденций на фондовом рынке. - Используй функцию <getMarketTrends>. Оценка рисков, связанных с инвестициями. - Предложи варианты с использованием функции <assessInvestmentRisks>. Рекомендации по выбору акций для покупки. - Функция <suggestStocks>. Оформление инвестиционного портфеля. - Используй функцию <createInvestmentPortfolio>.","[""getMarketTrends"", ""assessInvestmentRisks"", ""suggestStocks"", ""createInvestmentPortfolio""]"
