scene_name,entry_condition,user_message,target,scene_text,funcs
Изменение лимита по кредитной карте,"Запрос пользователя связан с одной из перечисленных тем:
1) увеличение кредитного лимита
2) уменьшение кредитного лимита",Какой у вас курс доллара сегодня?,0,"Подтверждение личности клиента. Проверка текущего лимита и баланса. - Используй функцию check_credit_limit() для получения информации. Анализ финансового состояния клиента. - Если необходимо, предложи варианты изменения лимита. Оформление запроса на изменение лимита. - Используй функцию submit_limit_change_request() для оформления.","[""check_credit_limit(), submit_limit_change_request()""]"
Информация о страховании,"Запрос пользователя связан с одной из перечисленных тем:
1) условия страхования
2) полисы и их обновление
3) компенсация по страховому случаю",Привет! Когда будет следующая игра футбольной лиги?,0,"Подтверждение данных клиента. Проверка доступных страховых полисов. - Используй функцию fetch_insurance_options() для получения информации. Объяснение условий страхования. - Если необходимо, предложи варианты полисов. Оформление заявки на страхование. - Используй функцию submit_insurance_application() для оформления.","[""fetch_insurance_options(), submit_insurance_application()""]"
Информация о кредите,"Запрос пользователя связан с одной из перечисленных тем:
1) условия кредита
2) процентная ставка",Какой у вас курс доллара сегодня?,0,"Запрос информации о типах кредитов. Проверка требований к заемщикам. - Используй функцию check_borrower_requirements() для получения информации. Выбор подходящего кредита. - Если необходимо, предложи варианты. Подготовка документов для оформления. - Используй функцию prepare_documents() для подготовки.","[""check_borrower_requirements(), prepare_documents()""]"
Изменение лимита кредитной карты,"Запрос пользователя связан с одной из перечисленных тем:
1) изменение кредитного лимита
2) повышение лимита по кредитной карте","Мне интересно, почему вы такие высокие проценты берете?",0,"Подтверждение личности клиента. Проверка текущего лимита и истории использования. - Используй функцию check_current_limit() для получения информации. Оценка возможности увеличения лимита. - Если необходимо, предложи варианты. Применение изменений к лимиту. - Используй функцию apply_limit_change() для оформления.","[""check_current_limit(), apply_limit_change()""]"
Запрос выписки по счету,"Запрос пользователя связан с одной из перечисленных тем:
1) получение выписки
2) проверка баланса
3) запрос о транзакциях",Мне нужна выписка по счету за последний месяц.,1,Подтверждение данных клиента. Проверка доступных счетов. - Используй функцию retrieve_accounts() для получения информации. Выбор периода для выписки. Генерация выписки по счету. - Используй функцию generate_statement() для создания выписки.,"[""retrieve_accounts(), generate_statement()""]"
Информация о кредитном лимите,"Запрос пользователя связан с одной из перечисленных тем:
1) кредитный лимит
2) изменение условий кредита",Какой у меня кредитный лимит?,1,"Подтверждение информации о клиенте. Проверка текущего кредитного лимита. - Используй функцию check_credit_limit() для получения данных. Оценка возможности увеличения лимита. - Если необходимо, предложи условия. Предоставление информации о лимите и условиях его изменения.","[""check_credit_limit()""]"
Получение потребительского кредита,"Запрос пользователя связан с одной из перечисленных тем:
1) получение кредита
2) кредитная ставка
3) условия кредитования",Можно мне взять кредит на 100000 рублей?,1,"Подтверждение личности клиента. Проверка кредитоспособности. - Используй функцию check_creditworthiness() для получения информации. Выбор суммы и срока кредита. - Если необходимо, предложи варианты. Оформление договора кредитования. - Используй функцию create_credit_agreement() для оформления.","[""check_creditworthiness(), create_credit_agreement()""]"
Изменение лимита по кредитной карте,"Запрос пользователя связан с одним из перечисленных тем:
1) изменение кредитного лимита
2) перерасчет условий кредита",Почему мой баланс такой низкий? Я же платил по кредиту!,0,Подтверждение данных клиента. Проверка текущего лимита по кредитной карте. - Используй функцию check_current_limit() для получения информации. Оценка финансового состояния клиента. - Используй функцию assess_financial_status() для анализа. Обновление лимита по кредитной карте. - Используй функцию update_credit_limit() для внесения изменений.,"[""check_current_limit(), assess_financial_status(), update_credit_limit()""]"
Оформление кредита,"Запрос пользователя связан с одной из перечисленных тем:
1) кредитная история
2) условия предоставления кредита
3) процесс подачи заявки на кредит",Мне нужно проверить последние транзакции по счету.,0,"Сбор необходимой информации от клиента. Проверка кредитной истории. - Используй функцию check_credit_history() для получения информации. Предложение вариантов кредитных условий. - Если необходимо, предложи варианты. Оформление заявки на кредит. - Используй функцию submit_credit_application() для оформления.","[""check_credit_history(), submit_credit_application()""]"
Оформление кредита,"Запрос пользователя связан с одной из перечисленных тем:
1) оформление кредита
2) условия кредитования",Я хочу узнать о вашем банке и его услугах.,0,"Подтверждение данных клиента. Проверка кредитной истории. - Используй функцию check_credit_history() для получения информации. Выбор условий кредита. - Если необходимо, предложи варианты. Оформление заявки на кредит. - Используй функцию submit_credit_application() для оформления.","[""check_credit_history(), submit_credit_application()""]"
Повышение кредитного лимита,"Запрос пользователя связан с одной из перечисленных тем:
1) увеличение кредитного лимита
2) условия кредитования","Мне нужен больший кредитный лимит, как это сделать?",1,Подтверждение идентификации клиента. Проверка текущего кредитного лимита и истории платежей. - Используй функцию check_credit_limit() для получения информации. Оценка финансового положения клиента. - Проверь доходы и расходы. Обработка запроса на увеличение лимита. - Используй функцию process_limit_increase_request() для оформления.,"[""check_credit_limit(), process_limit_increase_request()""]"
Состояние кредита,"Запрос пользователя связан с одной из перечисленных тем:
1) информация о кредите
2) состояние задолженности по кредиту",У вас есть информация о моем кредитном займе?,1,Подтверждение данных клиента. Получение информации о текущем состоянии кредита. - Используй функцию get_credit_status() для получения данных. Анализ сроков и платежей по кредиту. Предоставление рекомендаций по улучшению кредитного состояния.,"[""get_credit_status()""]"
Изменение лимита по кредиту,"Запрос пользователя связан с одной из перечисленных тем:
1) изменение кредитного лимита
2) возможность увеличения кредитного лимита","Вопрос по кредитам, а что у вас есть по вкладам?",0,Подтверждение данных клиента. Проверка текущего лимита. - Используй функцию check_current_limit() для получения информации. Оценка платежеспособности клиента. - Используй функцию evaluate_affordability() для анализа. Обновление лимита кредита. - Используй функцию update_credit_limit() для внесения изменений.,"[""check_current_limit(), evaluate_affordability(), update_credit_limit()""]"
Консультация по инвестициям,"Запрос пользователя связан с одной из перечисленных тем:
1) инвестиции
2) акции
3) фондовый рынок","Я хочу инвестировать в акции, какие есть варианты?",1,"Определение инвестиционных целей клиента. Анализ текущего инвестиционного портфеля. - Используй функцию analyze_investment_portfolio() для получения информации. Рекомендации по диверсификации активов. - Если необходимо, предложи варианты. Оформление договора на инвестиционное управление. - Используй функцию create_investment_agreement() для оформления.","[""analyze_investment_portfolio(), create_investment_agreement()""]"
Информация о кредите на жилье,"Запрос пользователя связан с одной из перечисленных тем:
1) ипотека
2) условия кредитования на жилье","Покажите мне, как открыть вклад.",0,"Сбор личной информации клиента. Оценка финансовых возможностей. - Используй функцию assess_financial_status() для получения информации. Предложение доступных программ кредитования. - Если необходимо, предложи варианты. Консультация по документам для оформления. - Используй функцию list_required_documents() для получения списка.","[""assess_financial_status(), list_required_documents()""]"
Информация о кредите,"Запрос пользователя связан с одной из перечисленных тем:
1) условия получения кредита
2) ставки по кредитам
3) процедуру оформления кредита",Почему у меня так долго деньги на счете висят?,0,"Запрос личных данных клиента для получения информации о кредите. Проверка доступных кредитных продуктов. - Используй функцию get_credit_products() для получения информации. Обсуждение условий кредитования. - Если необходимо, предложи варианты. Подготовка документов для оформления кредита. - Используй функцию prepare_credit_documents() для подготовки.","[""get_credit_products(), prepare_credit_documents()""]"
Изменение условий кредита,"Запрос пользователя связан с одной из перечисленных тем:
1) изменение процентной ставки
2) увеличение срока кредита","Мне нужно узнать, сколько у меня осталось до конца кредита.",0,"Подтверждение идентичности клиента. Оценка текущих условий кредита. - Используй функцию assess_current_terms() для получения информации. Предложение новых условий кредита. - Если требуется, предложи варианты. Оформление изменений в кредитном договоре. - Используй функцию update_credit_terms() для внесения изменений.","[""assess_current_terms(), update_credit_terms()""]"
Статус заявки на кредит,"Запрос пользователя связан с одной из перечисленных тем:
1) статус заявки на кредит
2) информация о кредитной истории","Как узнать, что с заявкой на кредит, которую я подавал месяц назад?",1,Подтверждение личности клиента. Проверка текущего статуса заявки. - Используй функцию check_application_status() для получения информации. Оповещение клиента о статусе. - Сообщи результаты проверки. Предложение дальнейших шагов в зависимости от статуса заявки.,"[""check_application_status()""]"
Процесс получения кредита,"Запрос пользователя связан с одной из перечисленных тем:
1) потребительский кредит
2) ипотечный кредит
3) кредит на автомобиль",Какой у вас процент по банковским вкладам?,0,"Подтверждение данных клиента. Проверка кредитной истории. - Используй функцию check_credit_history() для получения информации. Выбор условий кредита. - Если необходимо, предложи варианты. Оформление заявки на кредит. - Используй функцию submit_credit_application() для оформления.","[""check_credit_history()"", ""submit_credit_application()""]"
Узнать кредитный лимит,"Запрос пользователя связан с одной из перечисленных тем:
1) кредитование
2) кредитный лимит","Почему у меня ограничения по счету? Я думал, что могу больше тратить.",1,"Подтверждение данных клиента. Проверка текущего кредитного лимита. - Используй функцию check_credit_limit() для получения информации. Информирование клиента о доступном лимите. Предложение увеличить кредитный лимит. - Если клиент заинтересован, переходи к следующему этапу.","[""check_credit_limit()""]"
Изменение кредитного лимита,"Запрос пользователя связан с одной из перечисленных тем:
1) увеличение кредитного лимита
2) условия предоставления кредита","У меня сейчас есть кредитка, и я хочу, чтобы вы её увеличили, но не помню все детали.",1,"Подтверждение идентификации клиента. Проверка текущего кредитного лимита. - Используй функцию check_current_limit() для получения информации. Оценка возможности увеличения лимита. - Если необходимо, предложи различные варианты. Оформление запроса на изменение лимита. - Используй функцию submit_limit_change_request() для оформления.","[""check_current_limit(), submit_limit_change_request()""]"
Изменение кредитного лимита,"Запрос пользователя связан с одной из перечисленных тем:
1) изменение лимита по кредиту
2) увеличение кредитного лимита",Как я могу открыть новый счет в вашем банке?,0,Подтверждение данных клиента. Проверка текущего лимита кредитной карты. - Используй функцию check_current_limit() для получения информации. Оценка финансового состояния клиента. - Используй функцию assess_financial_status() для анализа. Обновление кредитного лимита. - Используй функцию update_credit_limit() для внесения изменений.,"[""check_current_limit(), assess_financial_status(), update_credit_limit()""]"
Статус кредита,"Запрос пользователя связан с одной из перечисленных тем:
1) кредитная заявка
2) изменения условий кредита",Расскажи мне о ваших вкладах.,0,Подтверждение личных данных клиента. Проверка текущего статуса кредита. - Используй функцию check_loan_status() для получения информации. Информирование клиента о сроках рассмотрения заявки. Подготовка рекомендаций по дальнейшим действиям.,"[""check_loan_status()""]"
